area,munro,url,status
Torridon,Maol Chean Dearg,https://www.mountain-forecast.com/peaks/Maol-Chean-dearg/forecasts/933,HTML fetch failed
Torridon,Beinn A Chearcaill,https://www.mountain-forecast.com/peaks/Beinn-a-Chearcall/forecasts/724,HTML fetch failed
Torridon,Sgurr An Fhidhleir,https://www.mountain-forecast.com/peaks/Sgurr-an-Fhidhleir-and-Ben-Mor-Coigach/forecasts/705,HTML fetch failed
Torridon,A Mhaighdean,https://www.mountain-forecast.com/peaks/A-Mhaighdean-and-Ruadh-Stac-Mor/forecasts/967,HTML fetch failed
Torridon,An Teallach - Bidein a Ghlas Thuill,https://www.mountain-forecast.com/peaks/An-Teallach-Sgurr-Fiona-Bidein-a-Ghlas-Thuill/forecasts/1062,HTML fetch failed
Glencoe,Beinn a Chrulaiste,https://www.mountain-forecast.com/peaks/Creise-and-Meall-a-Bhuiridh/forecasts/857,HTML fetch failed
Coigach,Ben More Coigach,https://www.mountain-forecast.com/peaks/Sgurr-an-Fhidhleir-and-Ben-Mor-Coigach/forecasts/743,HTML fetch failed
Cairngorms,Cairn Gorm,https://www.mountain-forecast.com/peaks/Cairn-Gorm/forecasts/1245,HTML fetch failed
Ben Nevis,Aonach Beag,https://www.mountain-forecast.com/peaks/Aonach-Beag-Lochaber/forecasts/1234,HTML fetch failed
Ben Nevis,Carn Mor Dearg,https://www.mountain-forecast.com/peaks/Carn-Mor-Dearg/forecasts/1220,HTML fetch failed
Ben Nevis,Stob Ban,https://www.mountain-forecast.com/peaks/Stob-Ban-Grey-Corries/forecasts/999,HTML fetch failed
